PID,geometry
568,Point (4.37438386 51.18049595)
570,Point (3.76842343 51.04068039)
574,Point (3.72935634 51.03229247)
575,Point (3.71422575 51.05072519)
577,Point (4.40445323 51.21024992)
580,Point (4.39960124 51.16597414)
583,Point (3.71651022 51.06201318)
586,Point (4.42347405 51.19768091)
596,Point (3.68187744 51.02813511)
597,Point (4.23394771 51.20804047)
606,Point (4.35869979 51.17624202)
616,Point (3.75855023 51.02899153)
622,Point (4.40026871 51.20922799)
626,Point (4.35416807 51.17875603)
632,Point (4.33959778 51.20187802)
646,Point (3.73545524 51.0579215)
649,Point (3.72875695 51.06542345)
673,Point (4.39146136 51.20007847)
674,Point (4.36110163 51.17660487)
675,Point (3.70044584 51.07870987)
679,Point (3.54540693 50.97549165)
682,Point (4.40854667 51.20174939)
683,Point (3.76097405 51.03112247)
689,Point (3.70765616 51.03838755)
692,Point (3.71780424 51.04803104)
707,Point (3.72817789 51.02775733)
710,Point (4.39058422 51.17137249)
711,Point (4.39053197 51.16619059)
714,Point (3.57332797 50.98871281)
724,Point (4.39746539 51.20437945)
727,Point (3.67759536 51.06953018)
728,Point (4.38153106 51.17966104)
730,Point (4.42706947 51.17946865)
731,Point (3.71431713 51.08604298)
732,Point (4.37511865 51.18719568)
736,Point (4.4122348 51.20684875)
739,Point (3.72691746 51.02800892)
740,Point (3.70782985 51.03767819)
751,Point (3.73289228 51.05762841)
753,Point (3.72434472 51.05275092)
763,Point (4.4147618 51.19388408)
767,Point (3.76212794 51.07330818)
769,Point (4.38301906 51.18640584)
774,Point (4.40344342 51.21163256)
782,Point (4.40385963 51.21077611)
785,Point (4.38180792 51.18692508)
786,Point (3.75277334 51.03747544)
787,Point (4.37495021 51.18266045)
797,Point (3.53804037 50.9690765)
800,Point (4.40501833 51.20391847)
810,Point (4.35325858 51.17465292)
811,Point (3.6460713 51.03598541)
817,Point (3.74203947 51.0362357)
820,Point (4.35351298 51.17461583)
821,Point (3.72911552 51.06206603)
822,Point (3.71561162 51.02042019)
826,Point (3.75247988 51.03784705)
834,Point (3.79701743 51.0022798)
846,Point (4.37518366 51.19047711)
849,Point (4.41882248 51.19893788)
850,Point (3.75961918 51.03511572)
854,Point (4.36072634 51.17160146)
864,Point (3.77689662 51.06485318)
866,Point (4.41661663 51.2076674)
884,Point (4.39245933 51.20046999)
893,Point (3.74110908 51.05136035)
899,Point (4.3791084 51.18633446)
905,Point (4.36505393 51.17655758)
917,Point (3.74107871 51.04978419)
926,Point (3.70862773 51.07928674)
930,Point (3.52993169 50.9812996)
936,Point (4.38710994 51.18506579)
937,Point (3.70494993 51.04129028)
941,Point (4.35426304 51.18159839)
943,Point (3.69925924 51.05684549)
945,Point (3.74294774 51.04887173)
959,Point (4.40158354 51.21109434)
965,Point (3.74485353 51.03098144)
966,Point (4.40197588 51.21043717)
974,Point (4.40553103 51.16942663)
985,Point (3.69211024 51.08598732)
997,Point (3.74870086 51.0539673)
1000,Point (3.70002636 51.07768542)
